Index Name,Date,Open,High,Low,Close
NIFTY 50,2024-04-19,19565.6,19717.8,19565.45,19689.85
NIFTY 50,2024-04-20,19767,19839.2,19756.95,19811.35
NIFTY 50,2024-04-21,19822.7,19843.3,19772.65,19794
NIFTY 50,2024-04-22,19654.55,19805.4,19635.3,19751.05
NIFTY 50,2024-04-23,19737.25,19781.3,19691.85,19731.75
NIFTY 50,2024-04-24,19843.2,19849.75,19775.65,19811.5
NIFTY 50,2024-04-25,19820.45,19840.95,19659.95,19671.1
NIFTY 50,2024-04-26,19545.2,19681.8,19512.35,19624.7
NIFTY 50,2024-04-27,19542.15,19593.8,19518.7,19542.65
NIFTY 50,2024-04-28,19521.6,19556.85,19257.85,19281.75
NIFTY 50,2024-04-29,19286.45,19347.3,19074.15,19122.15
NIFTY 50,2024-04-30,19027.25,19041.7,18837.85,18857.25
NIFTY 50,2024-05-01,18928.75,19076.15,18926.65,19047.25
NIFTY 50,2024-05-02,19053.4,19158.5,18940,19140.9
NIFTY 50,2024-05-03,19232.95,19233.7,19056.45,19079.6
NIFTY 50,2024-05-04,19064.05,19096.05,18973.7,18989.15
NIFTY 50,2024-05-05,19120,19175.25,19064.15,19133.25
NIFTY 50,2024-05-06,19241,19276.25,19210.9,19230.6
NIFTY 50,2024-05-07,19345.85,19423,19309.7,19411.75
NIFTY 50,2024-05-08,19404.05,19423.5,19329.1,19406.7
NIFTY 50,2024-05-09,19449.6,19464.4,19401.5,19443.5
NIFTY 50,2024-05-10,19457.4,19463.9,19378.35,19395.3
NIFTY 50,2024-05-11,19351.85,19451.3,19329.45,19425.35
NIFTY 50,2024-05-12,19547.25,19547.25,19510.25,19525.55
NIFTY 50,2024-05-13,19486.75,19494.4,19414.75,19443.55
NIFTY 50,2024-05-14,19651.4,19693.2,19579.65,19675.45
NIFTY 50,2024-05-15,19674.7,19875.25,19627,19765.2
NIFTY 50,2024-05-16,19674.75,19806,19667.45,19731.8
NIFTY 50,2024-05-17,19731.15,19756.45,19670.5,19694
NIFTY 50,2024-05-18,19770.9,19829.1,19754.05,19783.4
NIFTY 50,2024-05-19,19784,19825.55,19703.85,19811.85
NIFTY 50,2024-05-20,19828.45,19875.15,19786.75,19802
NIFTY 50,2024-05-21,19809.6,19832.85,19768.85,19794.7
NIFTY 50,2024-05-22,19844.65,19916.85,19800,19889.7
NIFTY 50,2024-05-23,19976.55,20104.65,19956.3,20096.6
NIFTY 50,2024-05-24,20108.5,20158.7,20015.85,20133.15
NIFTY 50,2024-05-25,20194.1,20291.55,20183.7,20267.9
NIFTY 50,2024-05-26,20601.95,20702.65,20507.75,20686.8
NIFTY 50,2024-05-27,20808.9,20864.05,20711.15,20855.1
NIFTY 50,2024-05-28,20950.75,20961.95,20852.15,20937.7
NIFTY 50,2024-05-29,20932.4,20941.25,20850.8,20901.15
NIFTY 50,2024-05-30,20934.1,21006.1,20862.7,20969.4
NIFTY 50,2024-05-31,20965.3,21026.1,20923.7,20997.1
NIFTY 50,2024-06-01,21018.55,21037.9,20867.15,20906.4
NIFTY 50,2024-06-02,20929.75,20950,20769.5,20926.35
NIFTY 50,2024-06-03,21110.4,21210.9,21074.45,21182.7
NIFTY 50,2024-06-04,21287.45,21492.3,21235.3,21456.65
NIFTY 50,2024-06-05,21434.8,21482.8,21365.35,21418.65
NIFTY 50,2024-06-06,21477.65,21505.05,21337.75,21453.1
NIFTY 50,2024-06-07,21543.5,21593,21087.35,21150.15
NIFTY 50,2024-06-08,21033.95,21288.35,20976.8,21255.05
NIFTY 50,2024-06-09,21295.85,21390.5,21232.45,21349.4
NIFTY 50,2024-06-10,21365.2,21477.15,21329.45,21441.35
NIFTY 50,2024-06-11,21497.65,21675.75,21495.8,21654.75
NIFTY 50,2024-06-12,21715,21801.45,21678,21778.7
NIFTY 50,2024-06-13,21737.65,21770.3,21676.9,21731.4
NIFTY 50,2024-06-14,21727.75,21834.35,21680.85,21741.9
NIFTY 50,2024-06-15,21751.35,21755.6,21555.65,21665.8
NIFTY 50,2024-06-16,21661.1,21677,21500.35,21517.35
NIFTY 50,2024-06-17,21605.8,21685.65,21564.55,21658.6
NIFTY 50,2024-06-18,21705.75,21749.6,21629.2,21710.8
NIFTY 50,2024-06-19,21747.6,21763.95,21492.9,21513
NIFTY 50,2024-06-20,21653.6,21724.45,21517.85,21544.85
NIFTY 50,2024-06-21,21529.3,21641.85,21448.65,21618.7
NIFTY 50,2024-06-22,21688,21726.5,21593.75,21647.2
NIFTY 50,2024-06-23,21773.55,21928.25,21715.15,21894.55
NIFTY 50,2024-06-24,22053.15,22115.55,21963.55,22097.45
NIFTY 50,2024-06-25,22080.5,22124.15,21969.8,22032.3
NIFTY 50,2024-06-26,21647.25,21851.5,21550.45,21571.95
NIFTY 50,2024-06-27,21414.2,21539.4,21285.55,21462.25
NIFTY 50,2024-06-28,21615.2,21670.6,21575,21622.4
NIFTY 50,2024-06-29,21706.15,21720.3,21541.8,21571.8
NIFTY 50,2024-06-30,21716.7,21750.25,21192.6,21238.8
NIFTY 50,2024-07-01,21185.25,21482.35,21137.2,21453.95
NIFTY 50,2024-07-02,21454.6,21459,21247.05,21352.6
NIFTY 50,2024-07-03,21433.1,21763.25,21429.6,21737.6
NIFTY 50,2024-07-04,21775.75,21813.05,21501.8,21522.1
NIFTY 50,2024-07-05,21487.25,21741.35,21448.85,21725.7
NIFTY 50,2024-07-06,21780.65,21832.95,21658.75,21697.45
NIFTY 50,2024-07-07,21812.75,22126.8,21805.55,21853.8
NIFTY 50,2024-07-08,21921.05,21964.3,21726.95,21771.7
NIFTY 50,2024-07-09,21825.2,21951.4,21737.55,21929.4
NIFTY 50,2024-07-10,22045.05,22053.3,21860.15,21930.5
NIFTY 50,2024-07-11,22009.65,22011.05,21665.3,21717.95
NIFTY 50,2024-07-12,21727,21804.45,21629.9,21782.5
NIFTY 50,2024-07-13,21800.8,21831.7,21574.75,21616.05
NIFTY 50,2024-07-14,21664.3,21766.8,21543.35,21743.25
NIFTY 50,2024-07-15,21578.15,21870.85,21530.2,21840.05
NIFTY 50,2024-07-16,21906.55,21953.85,21794.8,21910.75
NIFTY 50,2024-07-17,22020.3,22068.65,21968.95,22040.7
NIFTY 50,2024-07-18,22103.45,22186.65,22021.05,22122.25
NIFTY 50,2024-07-19,22099.2,22215.6,22045.85,22196.95
NIFTY 50,2024-07-20,22248.85,22249.4,21997.95,22055.05
NIFTY 50,2024-07-21,22081.55,22252.5,21875.25,22217.45
NIFTY 50,2024-07-22,22290,22297.5,22186.1,22212.7
NIFTY 50,2024-07-23,22169.2,22202.15,22075.15,22122.05
NIFTY 50,2024-07-24,22090.2,22218.25,22085.65,22198.35
NIFTY 50,2024-07-25,22214.1,22229.15,21915.85,21951.15
NIFTY 50,2024-07-26,21935.2,22060.55,21860.65,21982.8
NIFTY 50,2024-07-27,22048.3,22353.3,22047.75,22338.75
NIFTY 50,2024-07-28,22406.95,22419.55,22367.05,22378.4
NIFTY 50,2024-07-29,22403.5,22440.9,22358.3,22405.6
NIFTY 50,2024-07-30,22371.25,22416.9,22269.15,22356.3
NIFTY 50,2024-07-31,22327.5,22497.2,22224.35,22474.05
